transaction_id,customer_id,date,amount,product_category
1,45,2023-01-01 00:00:00,395.31,Home
2,7,2023-01-01 01:00:00,53.81,Home
3,10,2023-01-01 02:00:00,214.61,Electronics
4,45,2023-01-01 03:00:00,440.77,Clothing
5,17,2023-01-01 04:00:00,472.92,Clothing
6,26,2023-01-01 05:00:00,239.03,Home
7,21,2023-01-01 06:00:00,310.57,Electronics
8,28,2023-01-01 07:00:00,91.85,Clothing
9,46,2023-01-01 08:00:00,495.67,Electronics
10,2,2023-01-01 09:00:00,123.52,Electronics
11,43,2023-01-01 10:00:00,471.94,Electronics
12,1,2023-01-01 11:00:00,328.33,Beauty
13,36,2023-01-01 12:00:00,307.79,Electronics
14,26,2023-01-01 13:00:00,261.22,Beauty
15,29,2023-01-01 14:00:00,123.03,Home
16,21,2023-01-01 15:00:00,96.5,Clothing
17,11,2023-01-01 16:00:00,118.04,Clothing
18,40,2023-01-01 17:00:00,101.35,Clothing
19,11,2023-01-01 18:00:00,392.0,Clothing
20,36,2023-01-01 19:00:00,181.56,Clothing
21,49,2023-01-01 20:00:00,38.34,Clothing
22,39,2023-01-01 21:00:00,484.86,Clothing
23,40,2023-01-01 22:00:00,443.06,Home
24,35,2023-01-01 23:00:00,464.6,Electronics
25,34,2023-01-02 00:00:00,497.5,Food
26,47,2023-01-02 01:00:00,95.21,Beauty
27,24,2023-01-02 02:00:00,204.16,Food
28,22,2023-01-02 03:00:00,381.54,Food
29,5,2023-01-02 04:00:00,351.05,Electronics
30,33,2023-01-02 05:00:00,85.41,Electronics
31,36,2023-01-02 06:00:00,409.76,Electronics
32,47,2023-01-02 07:00:00,119.98,Clothing
33,20,2023-01-02 08:00:00,119.67,Home
34,19,2023-01-02 09:00:00,273.12,Clothing
35,35,2023-01-02 10:00:00,300.54,Home
36,43,2023-01-02 11:00:00,294.24,Home
37,17,2023-01-02 12:00:00,54.83,Food
38,45,2023-01-02 13:00:00,439.96,Food
39,43,2023-01-02 14:00:00,140.14,Home
40,34,2023-01-02 15:00:00,73.46,Home
41,9,2023-01-02 16:00:00,445.49,Clothing
42,26,2023-01-02 17:00:00,478.27,Clothing
43,2,2023-01-02 18:00:00,432.44,Food
44,9,2023-01-02 19:00:00,406.66,Electronics
45,9,2023-01-02 20:00:00,331.07,Home
46,40,2023-01-02 21:00:00,279.92,Clothing
47,17,2023-01-02 22:00:00,52.62,Food
48,1,2023-01-02 23:00:00,210.14,Clothing
49,25,2023-01-03 00:00:00,192.62,Home
50,43,2023-01-03 01:00:00,137.28,Home
51,40,2023-01-03 02:00:00,364.48,Beauty
52,42,2023-01-03 03:00:00,252.98,Electronics
53,25,2023-01-03 04:00:00,49.71,Beauty
54,39,2023-01-03 05:00:00,117.89,Food
55,35,2023-01-03 06:00:00,344.8,Clothing
56,3,2023-01-03 07:00:00,47.3,Food
57,50,2023-01-03 08:00:00,427.09,Home
58,37,2023-01-03 09:00:00,252.62,Beauty
59,44,2023-01-03 10:00:00,245.49,Beauty
60,44,2023-01-03 11:00:00,300.28,Beauty
61,30,2023-01-03 12:00:00,414.09,Food
62,38,2023-01-03 13:00:00,180.43,Home
63,34,2023-01-03 14:00:00,342.23,Clothing
64,12,2023-01-03 15:00:00,287.21,Clothing
65,19,2023-01-03 16:00:00,140.84,Food
66,37,2023-01-03 17:00:00,440.53,Beauty
67,44,2023-01-03 18:00:00,400.74,Electronics
